Gene	Pattern	Frequency
CYP707A3	1010	1
PYL2	1011	1
ZAT6	0011	2
PYL11	0011	2
SnRK3_22	0111	2
RCAR3	0111	2
CPK6	0101	3
SnRK2_2	0101	3
PYL7	0101	3
NCED5	0110	3
ABA2	0110	3
BG1	0110	3
AFP2	1101	3
DWA1	1101	3
SnRK2_1	1101	3
PYL4	1110	3
PYL6	1110	3
PYL5	1110	3
HAI3	0100	4
PYR1	0100	4
SnRK2_5	0100	4
HB5	0100	4
FBH3	1001	4
AIT1	1001	4
DREB2A	1001	4
ANAC102	1001	4
AAO3	1000	5
ABCG31	1000	5
TMAC2	1000	5
CYP707A4	1000	5
ABCG30	1000	5
PYL3	0010	6
PP2C5	0010	6
NCED2	0010	6
PYL10	0010	6
AHG1	0010	6
MYB44	0010	6
ABCG40	1100	10
ABA3	1100	10
SnRK2_10	1100	10
DWA2	1100	10
CPK3	1100	10
OST1	1100	10
CPK1	1100	10
CPK12	1100	10
PYL1	1100	10
HB7	1100	10
RCAR1	0001	45
HAI2	0001	45
SnRK2_4	0001	45
AT1G16850	0001	45
HAB2	0001	45
MYB3	0001	45
ABF2	0001	45
ABF1	0001	45
NFYC2	0001	45
ABA4	0001	45
AFP1	0001	45
ABCG25	0001	45
HAB1	0001	45
ANAC032	0001	45
SnRK2_8	0001	45
NCED9	0001	45
HB6	0001	45
SnRK2_9	0001	45
CYP707A2	0001	45
LEA4_2	0001	45
EM6	0001	45
COR15	0001	45
GBF3	0001	45
AHG3	0001	45
NCED3	0001	45
ABF4	0001	45
AFP3	0001	45
EDL3	0001	45
GBF2	0001	45
CYP707A1	0001	45
ABI1	0001	45
RD26	0001	45
ABF3	0001	45
HAT22	0001	45
SnRK2_7	0001	45
SnRK3_15	0001	45
MUK11_7	0001	45
LEA4_5	0001	45
HSFA6A	0001	45
NFYB2	0001	45
RD29A	0001	45
ABI2	0001	45
HAI1	0001	45
SnRK2_3	0001	45
ABA1/ZEP	0001	45
